SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
KAZT,TQBR,Куйбазот,606.8,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Куйбышевазот ПАО ао,,FNDT,EQIN,,0.2,612.0,SUR,2024-05-24,234147999,RU000A0B9BV2,Kuib.Azot ao,1-01-00067-A,606.8,SUR,1,3,2024-05-28
KAZTP,TQBR,Куйбазот-п,632.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Куйбышевазот ПАО ап,,FNDT,EQIN,,0.5,635.5,SUR,2024-05-24,3696506,RU000A0B9BW0,Kuibishevazot ap,2-01-00067-A,632.0,SUR,2,3,2024-05-28
KBSB,TQBR,ТНСэКубань,503.5,10,0.56,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Кубань ПАО ао,,FNDT,EQIN,,0.5,504.0,SUR,2024-05-24,17869440,RU000A0JNJ11,TNS energo Kuban Company,1-01-55218-E,503.5,SUR,1,3,2024-05-28
KCHE,TQBR,КамчатЭ ао,0.671,10000,0.1,A,Т+: Акции и ДР - безадрес.,3,Камчатскэнерго ПАО ао,,FNDT,EQIN,,0.001,0.676,SUR,2024-05-24,58294409860,RU0006753498,Kamchatskenergo,1-02-00235-A,0.671,SUR,1,3,2024-05-28
KCHEP,TQBR,КамчатЭ ап,1.275,10000,0.1,A,Т+: Акции и ДР - безадрес.,3,Камчатскэнерго ПАО ап,,FNDT,EQIN,,0.005,1.275,SUR,2024-05-24,183062052,RU0006753480,Kamchatskenergo (pref),2-02-00235-A,1.275,SUR,2,3,2024-05-28
KGKC,TQBR,КурганГКао,52.2,10,7.2,A,Т+: Акции и ДР - безадрес.,1,Курганская генер.комп.ПАО ао,,FNDT,EQIN,,0.2,53.2,SUR,2024-05-24,122453406,RU000A0JP120,Kurganskaja Gener.Kompanija,1-01-55226-E,52.2,SUR,1,3,2024-05-28
KGKCP,TQBR,КурганГКап,55.4,10,7.2,A,Т+: Акции и ДР - безадрес.,1,Курганская генер. комп. ПАО ап,,FNDT,EQIN,,0.2,56.6,SUR,2024-05-24,14393052,RU000A0JP138,Kurganskaja Gener.Kompanija ap,2-01-55226-E,55.4,SUR,2,3,2024-05-28
KLSB,TQBR,КалужскСК,29.07,100,0.2,A,Т+: Акции и ДР - безадрес.,2,"ао""Калужская сбыт.комп.""ПАО",,FNDT,EQIN,,0.01,29.26,SUR,2024-05-24,91487347,RU000A0DKZK3,Kalugsk. Sbyt. Company ao,1-01-65057-D,29.07,SUR,1,3,2024-05-28
KLVZ,TQBR,Кристалл,7.154,100,0.01,A,Т+: Акции и ДР - безадрес.,3,Алкогольная Группа Кристалл,,FNDT,EQIN,,0.002,7.18,SUR,2024-05-24,921052700,RU000A107KX0,KLVZ KRISTALL,1-01-05421-G,7.154,SUR,1,3,2024-05-28
KMAZ,TQBR,КАМАЗ,169.6,10,50.0,A,Т+: Акции и ДР - безадрес.,1,КАМАЗ ПАО,,FNDT,EQIN,,0.1,173.8,SUR,2024-05-24,707229559,RU0008959580,KAMAZ,1-08-55010-D,174.2,SUR,1,2,2024-05-28
KMEZ,TQBR,КМЗ,1594.0,1,250.0,A,Т+: Акции и ДР - безадрес.,0,Ковровский механический завод,,FNDT,EQIN,,2.0,1594.0,SUR,2024-05-24,3764600,RU0006753613,Kovrov Mech. Zavod,1-02-05376-A,1594.0,SUR,1,3,2024-05-28
KOGK,TQBR,КоршГОК ао,51000.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Коршуновский ГОК ПАО ао,,FNDT,EQIN,,200.0,51000.0,SUR,2024-05-24,250126,RU0002155359,Korshunovskii GOK,1-01-20992-F,51000.0,SUR,1,3,2024-05-28
KRKN,TQBR,СаратНПЗ,12300.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Саратовский НПЗ ПАО ао,,FNDT,EQIN,,50.0,12350.0,SUR,2024-05-24,748012,RU0009100408,Saratovskiy NPZ ao,1-01-00248-A,12300.0,SUR,1,3,2024-05-28
KRKNP,TQBR,СаратНПЗ-п,11080.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Саратовский НПЗ ПАО ап,,FNDT,EQIN,,20.0,11160.0,SUR,2024-05-24,249337,RU0009100416,Saratovskiy NPZ ap,2-01-00248-A,11080.0,SUR,2,3,2024-05-28
KRKOP,TQBR,ТКЗКК ап,14.14,100,1.0,A,Т+: Акции и ДР - безадрес.,2,ТКЗ Красный котельщик ПАО ап,,FNDT,EQIN,,0.02,14.5,SUR,2024-05-24,71086000,RU0009098131,TKZ Krasny Kotelshchik ap,2-01-30301-E,14.14,SUR,2,3,2024-05-28
KROT,TQBR,КрасОкт-ао,2677.0,10,1.0,A,Т+: Акции и ДР - безадрес.,0,"""КрасныйОктябрь"" ПАО - ао",,FNDT,EQIN,,1.0,2710.0,SUR,2024-05-24,9217583,RU0008913850,KrasnyiOctyabr,1-02-00060-A,2677.0,SUR,1,3,2024-05-28
